1,000000 0,840000 10 38 38 0,771193 0,000000

10,000000 0,840000 10 224 224 0,953806 0,026201

11,000000 0,840000 10 257 257 0,819876 0,142857

12,000000 0,840000 10 258 258 0,797994 0,015444

2,000000 0,840000 10 63 63 0,766644 0,000000

3,000000 0,840000 10 85 85 0,747923 0,000000

4,000000 0,840000 10 108 108 0,961306 0,000000

5,000000 0,840000 10 126 126 0,707686 0,000000

6,000000 0,840000 10 157 157 0,744185 0,000000

7,000000 0,840000 10 184 184 0,820707 0,000000

8,000000 0,840000 10 203 203 0,851207 0,029268

9,000000 0,840000 10 209 209 0,808643 0,009346


10,000000 0,840000 10 224 224 0,953806 0,026201

11,000000 0,840000 10 257 257 0,819876 0,142857

12,000000 0,840000 10 258 258 0,797994 0,015444

2,000000 0,840000 10 63 63 0,766644 0,000000

3,000000 0,840000 10 85 85 0,747923 0,000000

4,000000 0,840000 10 108 108 0,961306 0,000000

5,000000 0,840000 10 126 126 0,707686 0,000000

6,000000 0,840000 10 157 157 0,744185 0,000000

7,000000 0,840000 10 184 184 0,820707 0,000000

8,000000 0,840000 10 203 203 0,851207 0,029268

9,000000 0,840000 10 209 209 0,808643 0,009346


